state,x,y
East Azarbaijan,-240,202
West Azerbaijan,-270,163
Ardabil,-190,220
Isfahan,-80,29
Alborz,-114,127
Ilam,-225,31
Bushehr,-105,-126
Tehran,-82,114
Chaharmahal Bakhtiari,-145,-6
Southern Khorasan,110,19
Khorasan Razavi,100,124
North Khorasan,61,177
Khuzestan,-186,-30
Zanjan,-187,150
Semnan,0,113
Sistan Baluchestan,165,-165
Fars,-45,-107
Qazvin,-148,127
Qom,-106,80
Kurdistan,-228,119
Kerman,60,-87
Kermanshah,-250,79
Kohgiloyeh Boyerahmad,-160,-60
Golestan,-5,168
Guilan,-146,170
Lorestan,-196,45
Mazandaran,-80,142
Markazi,-145,60
Hormozgan,40,-175
Hamedan,-184,90
Yazd,20,1